filename log_L z grid_id bin_size_emit alpha beta E_peak background_name bgd_15-25keV bgd_15-50keV bgd25-100keV bgd50-350keV theta flux burst_shape ndet trigger_index
0 5.028931e+01 8.483428e+00 23 1.687154e-01 -7.981626e-01 -2.721011e+00 5.474602e+00 sw00349510000b_bgd.pha 4068.19 7394.11 6611.3 5908.21 31.393231 4.467729e-11 252588_GRB061222A 27147 0
1 5.203003e+01 4.988904e+00 03 2.671607e-01 -7.518914e-01 -2.408638e+00 6.431790e+01 sw00287364000b_bgd.pha 4399.26 8217.38 7664.96 7491.41 35.017749 2.189505e-08 292934_GRB071003 27147 0
2 5.193787e+01 4.326129e+00 12 3.004058e-01 -6.756299e-01 -2.619257e+00 6.504082e+01 sw00324561000b_bgd.pha 3965.09 7453.09 7067.93 7051.42 46.628525 2.725185e-08 228581_GRB060908 27147 0
3 4.930054e+01 3.054284e+00 27 3.946443e-01 -1.521284e+00 -2.524972e+00 4.102221e+00 sw00292934000b_bgd.pha 5810.4 9920.78 8302.64 7895.07 56.990242 4.752023e-11 358422_GRB090726 27147 0
4 5.175049e+01 4.814361e+00 10 2.751807e-01 -1.461954e+00 -2.364633e+00 4.801829e+01 sw00213934000b_bgd.pha 4051.86 7513.04 6977.04 6334.16 19.267549 1.010202e-08 209755_GRB060512 27147 0
5 5.151978e+01 5.311138e+00 30 2.535201e-01 -1.105802e+00 -2.418671e+00 3.391912e+01 sw00501520000b_bgd.pha 3726.46 6847.9 6199.41 5351.34 40.675039 5.334852e-09 234905_GRB061021 27147 0
6 5.159424e+01 3.613310e+00 23 3.468226e-01 -7.871475e-01 -2.501989e+00 5.055581e+01 sw00356912000b_bgd.pha 3204.8 5987.52 5622.24 5129.7 31.393231 1.790644e-08 228006_GRB060904B 27147 0
7 5.148621e+01 2.993865e+00 27 4.006145e-01 -8.341612e-01 -2.366601e+00 5.156728e+01 sw00312958000b_bgd.pha 3946.35 7380.77 7207.52 7427.3 56.990242 2.014658e-08 330856_GRB081007 27147 0
8 5.048462e+01 3.859867e+00 20 3.292271e-01 -6.771968e-01 -2.605677e+00 1.337672e+01 sw00441676000b_bgd.pha 2782.94 5139.57 4706.43 4269.23 56.291844 8.615773e-10 301981_GRB080129 27147 0
9 5.238281e+01 1.534050e+00 27 6.314004e-01 -2.199471e-01 -2.333376e+00 2.281685e+02 sw00348650000b_bgd.pha 3901.14 7328.46 7097.54 7238.8 56.990242 3.893223e-07 211117_GRB060522 27147 0
10 5.188049e+01 3.785412e+00 09 3.343495e-01 -1.145248e+00 -2.248510e+00 6.776288e+01 sw00307931000b_bgd.pha 4609.88 8536.62 7947.66 7645.57 31.393231 2.509800e-08 238108_GRB061110A 27147 1
11 5.154236e+01 3.523597e+00 23 3.537008e-01 -1.030306e+00 -2.201917e+00 4.856908e+01 sw00330856000b_bgd.pha 4383.95 8214.99 7934.8 8040.1 31.393231 1.358999e-08 228006_GRB060904B 27147 0
12 5.078552e+01 3.488656e-01 13 1.186182e+00 -6.439102e-01 -2.643499e+00 6.814863e+01 sw00106709000b_bgd.pha 4253.68 7913.23 7315.23 6776.02 56.990242 8.789111e-07 323898_GRB080905B 27147 1
13 5.069336e+01 8.516994e+00 11 1.681203e-01 -4.821965e-01 -2.125412e+00 8.686493e+00 sw00130088000b_bgd.pha 4858.27 9113.79 8971.79 9987.01 31.393231 2.029631e-10 336489_GRB081203A 27147 0
14 5.166748e+01 5.533284e+00 02 2.448998e-01 -8.307256e-01 -1.876294e+00 3.883947e+01 sw00317508000b_bgd.pha 4530.38 7734.16 6419.01 5856.27 40.675 5.067296e-09 336489_GRB081203A 27147 0
15 5.067017e+01 1.402227e+00 33 6.660486e-01 1.880160e-01 -2.439832e+00 3.350684e+01 sw00318832000b_bgd.pha 5371.38 9084.4 7472.56 7104.22 50.662786 2.229413e-08 287364_GRB070810A 27147 0
16 5.194885e+01 1.488278e+00 29 6.430150e-01 -1.260096e+00 -2.158690e+00 1.409912e+02 sw00203755000b_bgd.pha 3814.51 6786.8 5740.61 4749.31 50.662786 2.208811e-07 334877_GRB081118 27147 1
17 4.803162e+01 1.416264e+00 15 6.621794e-01 -8.868124e-01 -2.397504e+00 1.597086e+00 sw00416076000b_bgd.pha 4981.83 9062.68 8013.87 6473.41 44.994283 1.565069e-11 342121_GRB090205 27147 0
18 4.946411e+01 2.420192e+00 29 4.678100e-01 -8.491130e-01 -2.404058e+00 5.870428e+00 sw00154630000b_bgd.pha 3935.26 7267.9 6597.76 5823.9 50.662786 1.739085e-10 113120_GRB050401 27147 0
19 5.159607e+01 5.395968e+00 32 2.501576e-01 -5.218245e-01 -2.751198e+00 3.654205e+01 sw00231974000b_bgd.pha 3781.97 6956.96 6309.25 5578.62 40.675039 7.813447e-09 209755_GRB060512 27147 0
20 5.182739e+01 2.481221e+00 07 4.596089e-01 -9.339624e-01 -2.666149e+00 8.762526e+01 sw00145581000b_bgd.pha 4151.06 7625.14 6814.29 6001.09 56.990242 7.413507e-08 103780_GRB050126 27147 0
