filename log_L z grid_id bin_size_emit alpha beta E_peak background_name bgd_15-25keV bgd_15-50keV bgd25-100keV bgd50-350keV theta flux burst_shape ndet trigger_index
0 5.183533e+01 8.847007e-01 03 8.489412e-01 -4.839722e-01 -2.665434e+00 1.633374e+02 sw00457330000b_bgd.pha 4624.66 7359.54 5355.54 4594.27 35.017749 7.185105e-07 214805_GRB060614 26997 1
1 5.198242e+01 7.815616e-01 20 8.980885e-01 -1.221296e+00 -1.513911e+00 2.046797e+02 sw00234516000b_bgd.pha 3672.51 6784.75 6156.03 5330.08 56.291844 3.891452e-07 319036_GRB080805 26997 1
2 5.020630e+01 3.299010e+00 18 3.721787e-01 -7.325701e-01 -2.448472e+00 1.097604e+01 sw00341749000b_bgd.pha 3887.6 7261.33 6978.67 7087.33 26.557574 5.977610e-10 334877_GRB081118 26997 0
3 5.150452e+01 6.014193e+00 09 2.281089e-01 -4.997093e-01 -2.481505e+00 2.998784e+01 sw00276321000b_bgd.pha 4383.87 8035.5 7210.48 6537.18 31.393231 4.409742e-09 252593_GRB061222B 26997 0
4 5.296875e+01 7.376207e-01 16 9.207994e-01 -4.151604e-01 -1.825507e+00 6.532578e+02 sw00284856000b_bgd.pha 4345.74 8121.84 7794.27 7847.7 26.557574 2.231195e-06 252588_GRB061222A 26997 1
5 5.220093e+01 6.335816e+00 08 2.181080e-01 -5.545182e-01 -2.938383e+00 6.392637e+01 sw00131560000b_bgd.pha 4004.21 7344.06 6510.29 5397.76 46.628525 2.302075e-08 353540_GRB090529A 26997 0
6 5.035461e+01 4.799104e+00 13 2.759047e-01 -8.693679e-01 -2.321977e+00 9.651855e+00 sw00429969000b_bgd.pha 4430.4 8212.14 7612.58 7161.97 56.990242 3.267069e-10 154112_GRB050908 26997 0
7 4.847656e+01 4.426827e+00 13 2.948316e-01 -8.390408e-01 -2.117293e+00 1.186861e+00 sw00297114000b_bgd.pha 4216.24 7708.69 6847.92 5841.87 56.990242 3.604730e-12 373674_GRB091024 26997 0
8 5.232239e+01 1.729343e+00 32 5.862217e-01 -8.446946e-01 -2.201447e+00 1.976061e+02 sw00154112000b_bgd.pha 3820.88 7070.96 6351.04 5385.98 40.675039 3.108211e-07 211957_GRB060526 26997 1
9 5.269226e+01 6.684902e+00 18 2.082004e-01 -1.511767e+00 -2.353017e+00 1.074377e+02 sw00114299000b_bgd.pha 4122.3 7656.66 6986.29 6242.64 26.557574 3.975406e-08 335105_GRB081121 26997 1
10 5.155640e+01 4.894920e+00 05 2.714202e-01 -6.685691e-01 -2.201131e+00 3.787782e+01 sw00261132000b_bgd.pha 5211.13 8624.22 6548.73 5185.16 50.662786 6.920587e-09 276205_GRB070419A 26997 0
